id,groupid,size
Aborto,1,57
Acueducto y alcantarillado,1,47
Afrocolombianos,1,37
Agropecuario y agrcola,1,34
Comunicaciones,1,27
Conflicto armado,1,89
Congreso,1,44
Corrupción,1,87
Cultura,1,42
Delicuencia,1,19
Democracia,1,55
Derechos,1,75
Desarrollo,1,120
Desmovilización,1,59
Discriminación,1,57
Drogas,1,40
Economía,1,64
Educación,1,34
Elecciones,1,9
Energa elctrica,1,43
Familia,1,16
Fuerza pública,1,32
Género,1,12
Geografía,1,14
Grupo armado,1,19
Guerra,1,20
Impuestos,1,58
Indígenas,1,22
Ingresos,1,37
Judicial,1,4
Laboral,1,59
Líderes sociales,1,34
Medio ambiente,1,17
Minería,1,21
Minoría sexual,1,17
N/A,1,18
Notariado y registro,1,15
Ordenamiento Territorial y regiones,1,3
Organismos de Control y Ministerio pblico,1,28
Participación ciudadana,1,31
Participación electoral,1,13
Partidos políticos,1,13
Paz,1,20
Pobreza,1,35
Proceso de paz,1,3
Propiedad privada,1,4
Racismo,1,18
Rama Ejecutiva,1,7
Rama Judicial,1,4
Rama Legislativa,1,14
Relaciones internacionales,1,2
Religión,1,28
Representación ciudadana,1,10
Salud,1,23
Seguridad,1,13
Seguridad social,1,23
Servicios públicos,1,5
Sindicatos,1,3
Soborno,1,2
Socioeconomía,1,22
Subsidio,1,23
Terrorismo,1,4
Tránsito y transporte,1,11
Víctimas,1,4
Violencia,1,4
Vivienda,1,4
Votación,1,4
Aborto,2,1
Afrocolombianos,2,1
Conflicto armado,2,1
Congreso,2,1
Corrupción,2,1
Desmovilización,2,1
Discriminación,2,1
Drogas,2,1
Familia,2,1
Fuerza pública,2,1
Aborto,3,11
Acueducto y alcantarillado,3,15
Afrocolombianos,3,5
Agropecuario y agrcola,3,14
Comunicaciones,3,12
Conflicto armado,3,31
Congreso,3,36
Corrupción,3,26
Cultura,3,12
Delicuencia,3,11
Democracia,3,13
Derechos,3,19
Desarrollo,3,38
Desmovilización,3,21
Discriminación,3,11
Drogas,3,17
Economía,3,21
Educación,3,9
Elecciones,3,6
Energa elctrica,3,18
Familia,3,2
Fuerza pública,3,13
Geografía,3,4
Grupo armado,3,11
Guerra,3,11
Impuestos,3,17
Indígenas,3,4
Ingresos,3,12
Judicial,3,3
Laboral,3,7
Líderes sociales,3,12
Medio ambiente,3,4
Minería,3,8
N/A,3,6
Notariado y registro,3,1
Ordenamiento Territorial y regiones,3,2
Organismos de Control y Ministerio pblico,3,28
Participación ciudadana,3,6
Participación electoral,3,3
Partidos políticos,3,3
Paz,3,14
Pobreza,3,9
Proceso de paz,3,5
Propiedad privada,3,1
Racismo,3,3
Rama Ejecutiva,3,2
Rama Judicial,3,3
Relaciones internacionales,3,24
Religión,3,6
Salud,3,3
Seguridad,3,6
Seguridad social,3,3
Servicios públicos,3,2
Sindicatos,3,3
Soborno,3,2
Socioeconomía,3,7
Subsidio,3,3
Terrorismo,3,4
Tránsito y transporte,3,2
Víctimas,3,7
Violencia,3,4
Vivienda,3,1
Votación,3,2
Aborto,4,1
Acueducto y alcantarillado,4,1
Conflicto armado,4,1
Congreso,4,2
Corrupción,4,2
Delicuencia,4,1
Democracia,4,1
Desarrollo,4,1
Desmovilización,4,1
Discriminación,4,1
Drogas,4,1
Fuerza pública,4,1
Grupo armado,4,1
Guerra,4,1
Organismos de Control y Ministerio pblico,4,1
Paz,4,1
Seguridad,4,1
Votación,4,1
Aborto,5,1
Acueducto y alcantarillado,5,2
Afrocolombianos,5,1
Comunicaciones,5,1
Conflicto armado,5,1
Congreso,5,4
Corrupción,5,3
Cultura,5,1
Democracia,5,2
Derechos,5,2
Desarrollo,5,3
Desmovilización,5,1
Discriminación,5,1
Drogas,5,2
Educación,5,2
Energa elctrica,5,1
Fuerza pública,5,1
Indígenas,5,1
Organismos de Control y Ministerio pblico,5,3
Participación ciudadana,5,1
Racismo,5,1
Religión,5,1
