id,groupid,size
Aborto,1,6
Acueducto y alcantarillado,1,1
Afinidad política,1,39
Afrocolombianos,1,1
Agropecuario y agrícola,1,4
Clientelismo,1,5
Comunicaciones, medios y tecnologías de la información,1,18
Confianza,1,1
Conflicto armado,1,22
Congreso,1,8
Corrupción,1,4
Datos personales,1,24
Delicuencia,1,12
Democracia,1,13
Derechos,1,6
Desarrollo,1,3
Desmovilización,1,12
Discriminación,1,8
Drogas,1,3
Economía,1,27
Educación,1,18
Elecciones,1,16
Energía eléctrica,1,2
Ética,1,5
Familia,1,18
Fuerza pública,1,17
Género,1,2
Geografía,1,1
Grupo armado,1,13
Impuestos,1,5
Indígenas,1,2
Influencia,1,6
Ingresos,1,9
Judicial,1,8
Laboral,1,17
Minoría sexual,1,4
Mujer,1,1
Ordenamiento Territorial y regiones,1,2
Organismos de Control y Ministerio público,1,2
Participación ciudadana,1,16
Participación electoral,1,3
Partidos políticos,1,10
Patria,1,2
Pensión,1,4
Pobreza,1,8
Política,1,28
Principal problema,1,2
Proceso de paz,1,6
Propiedad privada,1,1
Protesta,1,8
Racismo,1,6
Rama Ejecutiva,1,10
Rama Judicial,1,8
Rama Legislativa,1,7
Relaciones Internacionales,1,6
Relaciones internacionales,1,15
Religión,1,9
Representación ciudadana,1,1
Salud,1,12
Salud mental,1,3
Seguridad,1,9
Servicios públicos,1,2
Sindicatos,1,2
Soborno,1,9
Socioeconomía,1,4
Subsidio,1,5
Terrorismo,1,2
Víctimas,1,2
Votación,1,3
