id,groupid,size
Aborto,1,6
Acueducto y alcantarillado,1,2
Afinidad política,1,59
Afrocolombianos,1,1
Agropecuario y agrícola,1,14
Clientelismo,1,10
Comunicaciones, medios y tecnologías de la información,1,32
Conciliación,1,2
Confianza,1,2
Conflicto armado,1,29
Congreso,1,20
Corrupción,1,9
Datos personales,1,22
Delicuencia,1,16
Democracia,1,23
Derechos,1,18
Desarrollo,1,7
Desmovilización,1,31
Discriminación,1,14
Drogas,1,15
Economía,1,27
Educación,1,20
Elecciones,1,15
Energía eléctrica,1,2
Ética,1,7
Familia,1,31
Fuerza pública,1,20
Género,1,1
Geografía,1,1
Grupo armado,1,15
Impuestos,1,8
Indígenas,1,2
Influencia,1,8
Ingresos,1,10
Judicial,1,27
Laboral,1,27
Medio ambiente,1,1
Minoría sexual,1,8
Mujer,1,4
Ordenamiento Territorial y regiones,1,2
Organismos de Control y Ministerio público,1,3
Participación ciudadana,1,31
Participación electoral,1,8
Partidos políticos,1,12
Patria,1,3
Paz,1,2
Pensión,1,5
Pobreza,1,9
Política,1,32
Principal problema,1,2
Proceso de paz,1,19
Propiedad privada,1,1
Protesta,1,13
Racismo,1,6
Rama Ejecutiva,1,27
Rama Judicial,1,24
Rama Legislativa,1,8
Relaciones Internacionales,1,6
Relaciones internacionales,1,24
Religión,1,11
Representación ciudadana,1,5
Salud,1,13
Salud mental,1,4
Seguridad,1,17
Servicios públicos,1,2
Sindicatos,1,3
Soborno,1,10
Socioeconomía,1,6
Subsidio,1,7
Terrorismo,1,3
Tránsito y transporte,1,1
Víctimas,1,8
Violencia,1,2
Vivienda,1,2
Votación,1,9
