id,groupid,size
Aborto,1,15
Acueducto y alcantarillado,1,13
Afrocolombianos,1,4
Agropecuario y agrcola,1,11
Comunicaciones,1,5
Conflicto armado,1,26
Congreso,1,15
Corrupción,1,30
Cultura,1,11
Delicuencia,1,4
Democracia,1,12
Derechos,1,24
Desarrollo,1,41
Desmovilización,1,24
Discriminación,1,17
Drogas,1,15
Economía,1,24
Educación,1,5
Elecciones,1,1
Energa elctrica,1,18
Familia,1,3
Fuerza pública,1,9
Género,1,5
Geografía,1,4
Grupo armado,1,4
Guerra,1,4
Impuestos,1,28
Indígenas,1,1
Ingresos,1,18
Judicial,1,3
Laboral,1,28
Líderes sociales,1,15
Medio ambiente,1,9
Minería,1,7
Minoría sexual,1,5
N/A,1,12
Notariado y registro,1,5
Organismos de Control y Ministerio pblico,1,9
Participación ciudadana,1,7
Participación electoral,1,6
Partidos políticos,1,6
Paz,1,4
Pobreza,1,14
Propiedad privada,1,2
Racismo,1,1
Rama Ejecutiva,1,1
Rama Judicial,1,3
Rama Legislativa,1,5
Religión,1,6
Representación ciudadana,1,5
Salud,1,12
Seguridad,1,2
Seguridad social,1,12
Servicios públicos,1,2
Sindicatos,1,1
Socioeconomía,1,8
Subsidio,1,12
Terrorismo,1,2
Tránsito y transporte,1,4
Víctimas,1,2
Violencia,1,2
Vivienda,1,2
Votación,1,3
Aborto,3,3
Acueducto y alcantarillado,3,4
Afrocolombianos,3,2
Agropecuario y agrcola,3,4
Comunicaciones,3,4
Conflicto armado,3,12
Congreso,3,12
Corrupción,3,9
Cultura,3,7
Delicuencia,3,4
Democracia,3,5
Derechos,3,6
Desarrollo,3,12
Desmovilización,3,6
Discriminación,3,4
Drogas,3,5
Economía,3,7
Educación,3,4
Elecciones,3,2
Energa elctrica,3,4
Familia,3,1
Fuerza pública,3,4
Grupo armado,3,4
Guerra,3,3
Impuestos,3,6
Indígenas,3,1
Ingresos,3,3
Judicial,3,2
Laboral,3,3
Líderes sociales,3,6
Minería,3,2
N/A,3,4
Organismos de Control y Ministerio pblico,3,9
Participación ciudadana,3,2
Participación electoral,3,1
Partidos políticos,3,1
Paz,3,6
Pobreza,3,4
Proceso de paz,3,3
Propiedad privada,3,1
Racismo,3,1
Rama Ejecutiva,3,2
Rama Judicial,3,2
Relaciones internacionales,3,8
Religión,3,3
Salud,3,1
Seguridad,3,2
Seguridad social,3,1
Sindicatos,3,1
Soborno,3,1
Socioeconomía,3,3
Subsidio,3,1
Terrorismo,3,2
Víctimas,3,5
Violencia,3,2
Vivienda,3,1
Aborto,4,1
Conflicto armado,4,1
Congreso,4,1
Corrupción,4,1
Delicuencia,4,1
Desmovilización,4,1
Discriminación,4,1
Drogas,4,1
Fuerza pública,4,1
Grupo armado,4,1
Guerra,4,1
Paz,4,1
Seguridad,4,1
Acueducto y alcantarillado,5,1
Comunicaciones,5,1
Congreso,5,2
Corrupción,5,1
Cultura,5,1
Democracia,5,1
Derechos,5,1
Desarrollo,5,2
Drogas,5,1
Educación,5,1
Energa elctrica,5,1
Organismos de Control y Ministerio pblico,5,2
Religión,5,1
