id,groupid,size
¿Escucha noticias por radio?,1,1
¿Mira noticias en la TV?,1,1
¿Lee noticias en los periódicos?,1,1
¿Cuál es el problema más grave que está enfrentando el país?,1,1
¿Lee noticias vía Internet?,1,1
¿Cuál es el problema más grave que está enfrentando su municipio?,1,1
 ¿Qué es más importante para un varón una niña los niños y las niñas? (1) Independencia o (2) Respeto a los mayores ,1,1
¿Qué es más importante para un varón una niña los niños y las niñas? (1) Obediencia o (2) Autosuficiencia (valerse por sí mismo) ,1,1
¿Qué es más importante para un varón una niña los niños y las niñas? (1) Creatividad o (2) Disciplina,1,1
¿Cree que el voto puede mejorar las cosas en el futuro o cree que como quiera que vote. las cosas no van a mejorar?,1,1
Todas las personas deberían tener acceso a los servicios básico de salud,1,1
La alcaldía de este municipio debería invertir más recursos en educación,1,1
 Y pensando en otro asunto ¿Con qué firmeza aprueba o desaprueba un programa que de dinero a las familias pobres a cambio de mantener a sus hijos en la escuela?,1,1
Cuál de las tres frases describe mejor su opinión: La forma en que nuestra sociedad está organizada debe ser completa y radicalmente cambiada por medios revolucionarios. o nuestra sociedad debe ser gradualmente mejorada o perfeccionada por reformas o nuestra sociedad debe ser valientemente defendida de los movimientos revolucionarios,1,1
Algunas personas creen que las FARC deberían ganar más influencia política ¿Uste,1,1
Algunas personas creen que las FARC deberían ganar más influencia política,1,1
Algunas personas creen que los políticos colombianos deberían prestar más atención a las opiniones de los líderes de la Iglesia Católica.,1,1
Algunas personas creen que los políticos colombianos deberían prestar más atención a las opiniones de los líderes de la Iglesia Católica. ¿Qué tanto apoya esta idea? [Leer opciones],1,1
Denunció el hecho de victimización a alguna institución?,1,1
Hablando del lugar o barrio donde vive. y pensando en la posibilidad de ser ser víctima de un asalto o robo. ¿Se siente muy seguro. algo seguro. algo inseguro o muy inseguro? ,1,1
Y hablando del país en general ¿Qué tanto cree Ud. que el nivel de delincuencia que tenemos ahora representa una amenaza para el bienestar de nuestro futuro?,1,1
Si fuera víctima de un robo o asalto. ¿Cuánto confiaría en que el sistema judicial castigaría al culpable?,1,1
¿Hasta qué punto teme Ud. violencia por parte de miembros de su propia familia?,1,1
¿Hasta qué punto diría que su barrio esta afectado por las pandillas? ,1,1
Algunas personas dicen que la policía en este barrio/municipio protege a la gente frente a los delincuentes. mientras otros dicen que es la policía la que está involucrada en la delincuencia. ¿Qué opina usted? [Leer alternativas],1,1
¿A quién o a qué institución denunció el hecho del cual fue víctima?,1,1
¿Por qué no denunció el hecho del cual fue víctima?,1,1
Y pensando en su seguridad y la de su familia. ¿usted se siente más seguro(a). igual de seguro(a). o menos seguro(a) que hace cinco años?,1,1
Voy a mencionarle algunos grupos y le voy a pedir que me indique cuál de ellos representa la amenaza más grande para su seguridad? (1) Vecinos de su barrio o comunidad (2) Pandillas (3) Policía o militares (4) Crimen organizado y narcotraficantes (5) Personas pertenecientes a su familia (6) Delincuentes comunes (7) Guerrilla (8) Las BACRIM (9) [NO LEER] Otros (10) [NO LEER] Ninguno (88) NS (98) NR,1,1
¿En su opinión. qué hay que hacer para reducir la criminalidad en un país como el nuestro: implementar medidas de prevención o aumentar los castigos a los delincuentes?,1,1
Para reducir la criminalidad en un país como el nuestro hay que aumentar los castigos a los delincuentes. ¿Hasta qué punto está de acuerdo o en desacuerdo con esta frase?,1,1
Para poder capturar delincuentes ¿Cree usted que las autoridades siempre deben respetar las leyes o en ocasiones pueden actuar al margen de la ley?,1,1
¿Nació en área urbana o rural?,1,1
si usted pudiera. ¿tendría un arma de fuego para su protección?,1,1
Hay gente que dice que necesitamos un líder fuerte que no tenga que ser elegido a través del voto. Otros dicen que aunque las cosas no funcionen bien. la democracia electoral. o sea el voto popular. es siempre lo mejor. ¿Qué piensa? ,1,1
¿Hasta qué punto le gusta a usted ver televisión?,1,1
¿Hasta qué punto cree que los tribunales de justicia de Colombia garantizan un juicio justo?,1,1
¿Hasta qué punto tiene confianza en el sistema de justicia?,1,1
