id,groupid,size
Aborto,1,71
Acueducto y alcantarillado,1,65
Afinidad política,1,0
Afrocolombianos,1,44
Agropecuario y agrícola,1,48
Clientelismo,1,0
Comunicaciones Medios y tecnologías de la información,1,40
Conciliación,1,0
Confianza,1,0
Conflicto armado,1,123
Congreso,1,87
Corrupción,1,119
Cultura,1,55
Datos personales,2,0
Delicuencia,2,31
Democracia,2,71
Deporte,2,0
Derechos,2,96
Desarrollo,2,162
Desmovilización,2,83
Discriminación,2,71
Drogas,2,61
Economía,2,85
Educación,2,45
Elecciones,2,15
Energía eléctrica,2,62
Ética,2,0
Familia,3,19
Fuerza pública,3,48
Género,3,12
Geografía,3,18
Grupo armado,3,31
Guerra,3,32
Impuestos,3,75
Indígenas,3,27
Influencia,3,0
Ingresos,3,49
Judicial,4,7
Laboral,4,66
Líderes sociales,4,46
Medio ambiente,4,21
Minería,4,29
Minoría sexual,4,17
Mujer,5,0
N/A,5,24
Notariado y registro,5,16
Ordenamiento Territorial y regiones,5,5
Organismos de Control y Ministerio público,5,60
Participación ciudadana,5,38
Participación electoral,5,16
Partidos políticos,5,16
Patria,5,0
Paz,1,35
Pensión,1,0
Pobreza,1,44
Política,1,0
Principal problema,1,0
Proceso de paz,1,8
Propiedad privada,2,5
Protesta,2,0
Racismo,2,22
Rama Ejecutiva,3,9
Rama Judicial,2,7
Rama Legislativa,3,14
Relaciones internacionales,3,26
Religión,3,35
Representación ciudadana,3,10
Salud,3,26
Salud mental,3,0
Seguridad,3,20
Seguridad social,3,26
Servicios públicos,3,7
Sindicatos,3,6
Soborno,3,4
Socioeconomía,3,29
Subsidio,3,26
Terrorismo,4,8
Tránsito y transporte,4,13
Víctimas,4,11
Violencia,5,8
Vivienda,5,5
Votación,5,7
